YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,2,15,142.22,177.02,0.4,0.12,75.29,57.05,68.23,6.83,0.05,0.23,19.06,7.58,13.32,6.59,47.19,0.0,98.93,4.01,259.46
2014,1,2,16,32.8,29.23,0.34,0.11,86.14,11.05,11.12,1.34,0.0,0.02,14.96,7.51,11.24,6.53,60.94,0.0,98.95,3.2,255.86
2014,1,2,17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.76,6.51,9.63,6.1,65.69,0.0,99.01,3.46,261.3
2014,1,2,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.81,6.08,8.94,5.92,67.81,0.0,99.08,3.35,270.8
2014,1,2,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.78,5.91,8.34,5.86,71.75,0.0,99.13,3.0,281.11
2014,1,2,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.88,5.88,7.88,5.86,76.06,0.0,99.14,2.76,289.0
2014,1,2,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.13,5.86,7.5,5.86,79.88,0.0,99.11,2.6,295.03
2014,1,2,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.51,5.81,7.16,5.8,83.06,0.0,99.08,2.51,299.04
2014,1,2,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.98,5.78,6.88,5.8,86.0,0.0,99.04,2.48,300.69
2014,1,3,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.49,5.73,6.62,5.8,88.56,0.0,99.0,2.46,300.06
2014,1,3,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.01,5.61,6.31,5.74,90.81,0.0,98.96,2.45,298.2
2014,1,3,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.51,5.44,5.98,5.68,93.0,0.0,98.91,2.4,296.06
2014,1,3,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.95,5.23,5.58,5.62,95.19,0.0,98.88,2.38,293.62
2014,1,3,4,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.44,4.9,5.17,5.49,96.56,0.0,98.88,2.33,292.09
2014,1,3,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.98,4.49,4.73,5.31,96.88,0.0,98.92,2.24,289.13
2014,1,3,6,6.37,6.65,0.26,0.07,88.99,1.52,2.45,0.22,0.0,0.0,4.71,3.99,4.35,5.13,95.44,0.0,98.99,2.14,284.34
2014,1,3,7,56.83,125.25,0.23,0.11,79.6,23.35,48.75,3.11,0.02,0.08,7.15,3.91,5.53,5.13,80.12,0.0,99.09,2.47,278.54
2014,1,3,8,144.84,313.15,0.29,0.11,69.24,61.17,128.12,8.1,0.1,0.5,9.5,4.49,7.0,5.31,71.19,0.0,99.19,2.07,263.06
2014,1,3,9,222.56,477.83,0.32,0.11,60.55,96.58,199.33,13.1,0.24,1.17,12.87,4.83,8.85,5.43,58.06,0.0,99.25,2.19,250.85
2014,1,3,10,230.91,591.5,0.28,0.11,54.36,102.67,248.5,13.98,0.3,1.55,15.74,5.08,10.41,5.49,49.06,0.0,99.21,2.71,247.06
2014,1,3,11,243.87,546.4,0.28,0.02,51.58,106.0,218.58,13.41,0.3,1.52,18.06,4.9,11.48,5.43,41.81,0.0,99.11,3.09,242.27
2014,1,3,12,263.65,533.25,0.31,0.02,52.75,111.92,213.45,13.8,0.3,1.5,19.75,4.42,12.08,5.25,36.38,0.0,99.01,3.47,243.78
2014,1,3,13,270.77,459.52,0.36,0.12,57.63,111.83,182.27,13.66,0.27,1.33,20.75,3.86,12.3,5.07,32.88,0.0,98.95,3.61,249.21
2014,1,3,14,180.98,326.52,0.31,0.12,65.4,74.33,126.95,9.08,0.13,0.65,20.44,3.48,11.97,4.94,32.56,0.0,98.92,3.67,253.15
2014,1,3,15,90.85,164.35,0.25,0.11,75.15,36.83,61.77,4.55,0.03,0.17,18.69,5.6,12.14,5.74,42.31,0.0,98.89,2.78,254.21
2014,1,3,16,24.55,27.12,0.25,0.1,86.02,8.12,10.4,1.02,0.0,0.02,13.94,5.58,9.76,5.74,57.06,0.0,98.89,2.78,255.53
2014,1,3,17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.66,4.04,7.85,5.13,59.44,0.0,98.91,3.01,262.4
2014,1,3,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.83,3.48,7.15,4.94,60.31,0.0,98.96,2.82,274.13
