Region,XGBoost,Random Forest,KNN,LSTM,ANN-MLP
Dhangadhi,29.065548366498987,25.5150140267478,61.30927704886861,29.77801145285627,33.078902005888764
Mustang,28.651902712266963,26.761617988210688,54.09024618114977,28.26248052942471,33.20156631257202
Nuwakot,29.052708164517338,26.988391392533433,48.35227964758826,29.623899356691737,32.567875215010986
Taplejung,26.706040748254424,25.21274967357546,41.832692146795964,27.843533580825003,28.29373881897591
