Model,MAE,RMSE,MBE,R2
XGBoost,44.11316899267315,80.70808638945672,-4.624227448946118,0.9137377587128664
Random Forest,34.47365802808303,68.56222576668894,0.8102226495726487,0.937747549274451
KNN,68.23017277167277,113.84576294969563,-11.105435897435896,0.8283592587759568
LSTM,37.26855105935945,73.72740586697068,-6.215304666969366,0.9280145797901614
ANN-MLP,36.47914782606047,68.63560181944462,-0.7343747552846343,0.9376142314501394
