Model,MAE,RMSE,MBE,R2
XGBoost,29.052708164517338,55.2682761747348,-0.32056218282010696,0.9561286964329206
Random Forest,26.988391392533433,56.05647705254538,0.25239390251631744,0.9548684445467337
KNN,48.35227964758826,85.42669950946429,-3.542189769918236,0.8951868059079414
LSTM,29.623899356691737,58.79772979165509,3.2810165945285403,0.9503465056825022
ANN-MLP,32.567875215010986,63.12330633887454,-0.7774568372397034,0.9427720514200966
