Model,MAE,RMSE,MBE,R2
XGBoost,42.7579415738914,78.76594706596283,4.936610756862171,0.9183932126965796
Random Forest,36.21482061965812,75.16981669913486,2.148247786935292,0.9256747694799577
KNN,82.9948141025641,135.1874380632611,-6.2547518315018324,0.7596069221111289
LSTM,41.221154175595046,78.94992868314382,7.701204607691956,0.9180115329403784
ANN-MLP,38.630263602328974,74.06293638482194,-4.946071134355916,0.9278475411853009
