Region,Model,MAE,RMSE,MBE,R2
Dhangadhi,XGBoost,29.065548366498987,55.342116560798196,0.04031110194710356,0.9571565139089586
Dhangadhi,Random Forest,25.5150140267478,55.277872326112664,0.5584671927489386,0.9572559264196709
Dhangadhi,KNN,61.30927704886861,104.73188495551533,-4.943727451353236,0.8465626420154004
Dhangadhi,LSTM,28.728167394493415,57.28406594008307,1.7298762934898673,0.954097013323486
Dhangadhi,ANN-MLP,32.88316313449637,64.18439656337432,-2.664992638685755,0.9423721792256351
Mustang,XGBoost,28.651902712266963,52.432338273666076,0.14837401044615872,0.9580358848277711
Mustang,Random Forest,26.761617988210688,53.76897958025873,0.1253239906192544,0.955869057009867
Mustang,KNN,54.09024618114977,95.77481689678055,-2.452997528047157,0.8599825128852273
Mustang,LSTM,29.048588197884275,55.247935431938615,4.729820372976866,0.9534079600919069
Mustang,ANN-MLP,33.78079290634856,60.354591224009674,4.679437211877744,0.9443967413832917
Nuwakot,XGBoost,29.052708164517338,55.2682761747348,-0.32056218282010696,0.9561286964329206
Nuwakot,Random Forest,26.988391392533433,56.05647705254538,0.25239390251631755,0.9548684445467337
Nuwakot,KNN,48.35227964758826,85.42669950946429,-3.542189769918236,0.8951868059079414
Nuwakot,LSTM,30.497891316314444,59.74818057397783,4.512939626922578,0.9487282583141083
Nuwakot,ANN-MLP,32.52238994518538,62.56018139592275,0.3474619844019198,0.9437885614988798
Taplejung,XGBoost,26.706040748254424,49.13052990290925,-0.17267349814749738,0.95655280326818
Taplejung,Random Forest,25.21274967357546,50.51185495832862,-0.497103733282629,0.9540753876750255
Taplejung,KNN,41.832692146795964,74.15916845247304,-0.9219233060784684,0.9010106285340505
Taplejung,LSTM,26.919108830116667,52.132242219614476,4.188455723880807,0.9510816643343903
Taplejung,ANN-MLP,28.85107550827278,54.00348748412702,0.6665581890605372,0.9475068689519416
