Region,Model,MAE,RMSE,MBE,R2
Dhangadhi,XGBoost,42.7579415738914,78.76594706596283,4.936610756862171,0.9183932126965796
Dhangadhi,Random Forest,36.21482061965812,75.16981669913486,2.1482477869352934,0.9256747694799577
Dhangadhi,KNN,82.9948141025641,135.1874380632611,-6.2547518315018324,0.7596069221111289
Dhangadhi,LSTM,39.996201847787304,77.43020928306018,6.453729586240282,0.9211375711482849
Dhangadhi,ANN-MLP,38.63997445387536,73.71679157708286,-4.262524201011558,0.9285203969330181
Mustang,XGBoost,38.245421988017156,69.60328258379255,0.4239303828154546,0.9292144407270911
Mustang,Random Forest,33.28268714896215,65.3147730705276,2.807737393162388,0.9376684296680614
Mustang,KNN,68.84635836385836,116.49424167231221,-5.993936507936508,0.8017130461484621
Mustang,LSTM,35.17645926673771,68.5110653317842,3.724795468779274,0.9314185496522387
Mustang,ANN-MLP,37.60767971722198,67.41017938513596,5.905453835105721,0.9336048755265267
Nuwakot,XGBoost,44.11316899267315,80.70808638945672,-4.624227448946118,0.9137377587128664
Nuwakot,Random Forest,34.47365802808303,68.56222576668894,0.810222649572649,0.937747549274451
Nuwakot,KNN,68.23017277167277,113.84576294969563,-11.105435897435896,0.8283592587759568
Nuwakot,LSTM,38.08046296740627,73.37971470572134,-3.493569256094931,0.9286919311123029
Nuwakot,ANN-MLP,36.76329985789436,68.79817547972229,1.0162089474410074,0.9373183414388935
Taplejung,XGBoost,35.585873187821534,64.61849552251576,-2.608547491681874,0.9266925905451397
Taplejung,Random Forest,31.338448214285716,60.88558050801341,2.0203565781440793,0.9349176703669113
Taplejung,KNN,52.64151404151404,90.76775300326264,-3.8077625152625156,0.8553570213286716
Taplejung,LSTM,32.74682586310984,62.476299382033446,-1.84258095930493,0.9314725166761537
Taplejung,ANN-MLP,31.72015657108382,58.638547761783144,-4.124291448461048,0.939632860115797
