Region,Best_MAE,Best_MAE_value,Best_RMSE,Best_RMSE_value,Best_MBE,Best_MBE_value,Best_R2,Best_R2_value
Dhangadhi,Random Forest,25.5150140267478,Random Forest,55.277872326112664,XGBoost,0.04031110194710356,Random Forest,0.9572559264196709
Mustang,Random Forest,26.761617988210688,XGBoost,52.432338273666076,Random Forest,0.1253239906192544,XGBoost,0.9580358848277711
Nuwakot,Random Forest,26.988391392533433,XGBoost,55.2682761747348,Random Forest,0.25239390251631755,XGBoost,0.9561286964329206
Taplejung,Random Forest,25.21274967357546,XGBoost,49.13052990290925,XGBoost,-0.17267349814749738,XGBoost,0.95655280326818
