Region,Best_MAE,Best_MAE_value,Best_RMSE,Best_RMSE_value,Best_MBE,Best_MBE_value,Best_R2,Best_R2_value
Dhangadhi,Random Forest,36.21482061965812,ANN-MLP,73.71679157708286,Random Forest,2.1482477869352934,ANN-MLP,0.9285203969330181
Mustang,Random Forest,33.28268714896215,Random Forest,65.3147730705276,XGBoost,0.4239303828154546,Random Forest,0.9376684296680614
Nuwakot,Random Forest,34.47365802808303,Random Forest,68.56222576668894,Random Forest,0.810222649572649,Random Forest,0.937747549274451
Taplejung,Random Forest,31.338448214285716,ANN-MLP,58.638547761783144,LSTM,-1.84258095930493,ANN-MLP,0.939632860115797
