Model,MAE,RMSE,MBE,R2
XGBoost,28.651902712266963,52.432338273666076,0.14837401044615872,0.9580358848277711
Random Forest,26.761617988210688,53.76897958025873,0.12532399061925398,0.955869057009867
KNN,54.09024618114977,95.77481689678055,-2.452997528047157,0.8599825128852273
LSTM,28.26248052942471,54.428528197155835,3.0674625671095,0.954779766576009
ANN-MLP,33.20156631257202,60.238198940228926,4.29380769269317,0.944610993515036
